,Country,Assitance 2011,Assitance 2012,Assitance 2013,Assitance 2014,Assitance 2015,Assitance 2016,CO2 2011,CO2  2012,CO2  2013,CO2  2014,CO2  2015,CO2 2016,Employment 2011,Employment 2012,Employment 2013,Employment 2014,Employment 2015,Employment 2016,GDP 2011,GDP 2012,GDP 2013,GDP 2014,GDP 2015,GDP 2016
73,Guyana,105620002.8,114919998.2,101239997.9,160610000.6,32139999.39,70019996.64,1782.16,1994.85,1936.18,2009.52,2016.85,2383.55,25.02000046,25.05999947,25.12999916,25.21999931,25.09000015,25.06999969,9987.44,10479.63,11023.18,10951.68,11198.32,11296.73
74,Haiti,1506459961,1273349976,1152130005,1082359985,1045859985,1071680054,2093.86,2200.2,2306.54,2808.92,2933.6,2977.6,6.739999771,6.889999866,6.989999771,7.079999924,7.179999828,6.929999828,2805.73,2762.44,2872.19,2897.21,2903.36,3025.73
75,Honduras,359250000,566190002.4,625869995.1,606280029.3,540599975.6,412399993.9,8789.8,9163.83,9416.86,9508.53,10018.24,9812.89,19.77000046,19.93000031,19.04000092,22.02000046,21.80999947,21.57999992,3928.27,4032.58,4142.24,4452.58,4823.39,5147.24
76,"Hong Kong SAR, China",0,0,0,0,0,0,43369.61,42980.91,44546.72,45749.49,42647.21,43644.63,12.57999992,12.35999966,12.18999958,12.05000019,11.89999962,11.81000042,52277.47,52234.59,53691.84,54781.65,56408.94,57221.41
77,Hungary,0,0,0,0,0,0,48587.75,45206.78,42306.18,41341.76,44418.37,45536.81,30.84000015,29.79000092,29.89999962,30.5,30.32999992,30.44000053,22999.83,23206.26,24498.66,25642.56,26777.47,27911.66
78,Iceland,0,0,0,0,0,0,1881.17,1873.84,1899.51,1983.85,1987.51,2064.52,18.54999924,18.21999931,18.63999939,18.43000031,17.84000015,17.45999908,40767.24,41926.34,44157.55,45714.79,48841.24,53030.8
79,India,3270219971,1681849976,2456340088,2991820068,3174350098,2679040039,1836561.95,2013788.06,2030971.62,2232729.96,2337749.17,2407671.53,23.10000038,24.36000061,24.37000084,24.45000076,24.54000092,24.73999977,4493.67,4861.15,5057.22,5233.87,5464.86,5839.9
80,Indonesia,358109985.4,69010002.14,69470001.22,-381940002.4,-28459999.08,-108279998.8,509969.69,529632.14,415012.73,369945.3,512749.28,563324.54,19.98999977,21.06999969,20.95000076,21.39999962,22.04000092,21.71999931,9095.73,9713.87,10067.42,10278.14,10247.21,10494.56
81,"Iran, Islamic Rep.",105790000.9,151789993.3,131610000.6,81169998.17,110900001.5,116190002.4,589055.88,611761.94,619524.98,652392.3,650078.43,661710.15,33.02999878,33.18000031,33.29000092,33.75999832,32.52999878,31.87999916,18008.8,15950.1,15273.85,15235.7,13588.47,14011.55
82,Iraq,1914689941,1300880005,1541540039,1369270020,1482939941,2287899902,136830.44,154446.71,165612.72,166628.48,167273.87,190060.61,22.02000046,23.12999916,23.37000084,23.38999939,22.71999931,23.61000061,13495.21,15149.9,15536.06,14267.04,10391.78,9897.98
